Sub_Area,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
จอมพล,3140000,2019.0,32.0,1,1,23.53,450.0,7.0
สุขุมวิท,14500000,2021.0,30.0,2,2,51.66,1070.0,10.0
สีลม,15000000,2022.0,15.0,1,1,45.77,490.0,10.0
จอมพล,6347000,2021.0,11.0,1,1,35.09,180.0,10.0
สุขุมวิท,8290000,2020.0,23.0,2,2,46.5,1430.0,10.0
พระโขนงใต้,5260000,2017.0,16.0,1,1,39.35,530.0,5.0
พร้อมพงษ์,19000000,2018.0,18.0,1,1,54.41,370.0,10.0
จอมพล,4190000,2015.0,26.0,1,1,32.9,450.0,10.0
บางจาก,3300000,2014.0,5.0,1,1,30.0,410.0,9.0
แยกบางโพ,3000000,2014.0,39.0,1,1,36.0,480.0,9.0
ทองหล่อ,6900000,2008.0,9.0,2,2,75.0,1340.0,6.0
สุขุมวิท,12888000,2019.0,2.0,2,2,67.5,1290.0,7.0
ชิดลม,16410000,2017.0,24.0,1,1,43.85,310.0,5.0
พร้อมพงษ์,7990000,2009.0,19.0,1,1,52.0,330.0,10.0
ทองหล่อ,24100000,2020.0,22.0,2,2,72.36,90.0,10.0
รัชโยธิน,5290000,2019.0,6.0,1,1,34.66,250.0,10.0
พร้อมพงษ์,8090000,2020.0,8.0,1,1,33.95,450.0,10.0
พร้อมพงษ์,7135000,2022.0,15.0,1,1,29.81,440.0,11.0
บางจาก,3300000,2014.0,8.0,1,1,38.5,460.0,8.0
บางจาก,5050000,2020.0,25.0,1,1,32.0,180.0,10.0
พระโขนงเหนือ,3790000,2015.0,24.0,1,1,31.0,870.0,6.0
ชิดลม,12500000,2017.0,3.0,1,1,33.5,310.0,10.0
ห้วยขวาง,3990000,2017.0,20.0,1,1,42.0,1150.0,10.0
บางจาก,6300000,2014.0,8.0,2,2,69.0,480.0,10.0
อารีย์,4490000,2013.0,9.0,1,1,47.0,750.0,10.0
ทุ่งพญาไท,7400000,2010.0,33.0,1,1,41.0,250.0,10.0
พร้อมพงษ์,6300000,2013.0,12.0,1,1,34.0,190.0,9.0
พร้อมพงษ์,7200000,2018.0,25.0,1,1,29.0,660.0,9.0
พร้อมพงษ์,9793000,2012.0,24.0,1,1,52.0,270.0,10.0
ทองหล่อ,3300000,1995.0,16.0,1,1,49.0,1400.0,7.0
สีลม,5129500,2014.0,31.0,1,1,37.94,370.0,7.0
พร้อมพงษ์,12960000,2014.0,12.0,1,1,54.25,250.0,6.0
ห้วยขวาง,5162000,2018.0,31.0,1,1,29.0,20.0,7.0
บางจาก,3260000,2013.0,3.0,2,2,62.0,510.0,6.0
ช่องนนทรี,12000000,2014.0,4.0,2,2,62.0,590.0,7.0
สุขุมวิท,8925000,2016.0,33.0,1,1,45.0,220.0,10.0
พร้อมพงษ์,6300000,2020.0,14.0,1,1,27.0,610.0,10.0
พร้อมพงษ์,12000000,2014.0,7.0,1,1,53.0,260.0,6.0
บางจาก,5500000,2014.0,2.0,2,2,69.0,480.0,10.0
พระโขนงเหนือ,6300000,2011.0,16.0,2,1,45.0,70.0,5.0
บางจาก,6800000,2020.0,12.0,1,1,33.0,180.0,12.0
บางจาก,8230000,2018.0,29.0,2,2,53.0,180.0,8.0
ทุ่งวัดดอน,3661461,2016.0,8.0,1,1,34.43,1460.0,10.0
จอมพล,5076000,2015.0,36.0,1,1,34.22,450.0,12.0
บางกะปิ,3408000,2015.0,26.0,1,1,39.0,1150.0,10.0
ทุ่งมหาเมฆ,22900000,2016.0,8.0,3,3,155.09,910.0,10.0
สะพานควาย,6100000,2019.0,33.0,2,1,45.0,250.0,10.0
บางจากภาษีเจริญ,5325000,2014.0,17.0,1,1,34.0,210.0,8.0
อโศก,17900000,2018.0,12.0,2,2,86.0,360.0,10.0
ทองหล่อ,11500000,2012.0,8.0,2,2,83.37,1700.0,10.0
สะพานควาย,10619000,2019.0,20.0,2,2,65.0,250.0,10.0
พระโขนงใต้,6300000,2017.0,9.0,2,1,49.65,530.0,5.0
บุคคโล,2700000,2010.0,10.0,1,1,35.0,530.0,4.0
พร้อมพงษ์,5790000,2014.0,16.0,1,1,27.0,650.0,10.0
พระราม 9,3750000,2012.0,12.0,1,1,49.0,520.0,10.0
ลาซาล,3900000,2014.0,3.0,2,2,52.0,630.0,7.0
ทองหล่อ,9800000,2010.0,21.0,2,1,71.0,1650.0,5.0
พร้อมพงษ์,6614000,2009.0,14.0,1,1,50.0,600.0,8.0
บางอ้อ,7300000,2014.0,12.0,2,2,62.0,260.0,4.0
เพลินจิต,7590000,2020.0,17.0,1,1,38.0,540.0,10.0
พระโขนงเหนือ,3250000,2007.0,4.0,1,1,38.11,260.0,5.0
ประดิพัทธ์,9000000,2012.0,47.0,2,2,65.0,720.0,9.0
บ้านครัว,7500000,2015.0,4.0,1,1,39.0,340.0,5.0
พร้อมพงษ์,7900000,2014.0,15.0,1,1,43.0,530.0,9.0
สุขุมวิท,6922500,2010.0,8.0,1,2,74.0,260.0,4.0
มักกะสัน,5000000,2012.0,22.0,1,1,48.0,570.0,8.0
สุขุมวิท,7938000,2019.0,22.0,2,2,65.0,1170.0,10.0
สุขุมวิท,3600000,2009.0,17.0,1,1,31.0,320.0,10.0
บางจาก,4190000,2014.0,8.0,1,1,50.0,1640.0,10.0
ทองหล่อ,2390000,2014.0,2.0,2,1,67.0,860.0,2.0
พระราม 9,4021000,2012.0,20.0,1,1,50.0,520.0,10.0
ทองหล่อ,4330000,2018.0,8.0,1,1,29.27,800.0,10.0
บางจาก,5155000,2020.0,12.0,1,1,33.0,180.0,10.0
พร้อมพงษ์,15000000,1999.0,19.0,2,2,136.0,570.0,5.0
จอมพล,4700000,2015.0,31.0,1,1,32.5,450.0,10.0
บางกะปิ,3070784,2017.0,4.0,1,1,32.0,2290.0,10.0
ทองหล่อ,7010000,2013.0,4.0,1,1,46.42,140.0,10.0
สุขุมวิท,4400000,2019.0,12.0,1,1,32.0,1170.0,10.0
เสนานิคม,3000000,2019.0,3.0,2,1,34.5,680.0,7.0
สามย่าน,6175000,2018.0,10.0,1,1,25.0,150.0,5.0
ดินแดง,3950000,2017.0,8.0,1,1,29.0,570.0,10.0
สีลม,11845000,2013.0,4.0,2,2,70.0,430.0,10.0
ทองหล่อ,10578000,2012.0,11.0,1,1,53.0,370.0,7.0
ห้วยขวาง,7500000,2014.0,25.0,1,1,44.0,380.0,9.0
บางกะปิ,3882000,2022.0,14.0,1,1,37.5,1900.0,10.0
บางจาก,5200000,2019.0,14.0,1,1,35.0,320.0,10.0
จอมพล,3390000,2014.0,11.0,1,1,31.44,500.0,8.0
บางกะปิ,3579960,2022.0,20.0,1,1,33.0,1950.0,10.0
ถนนนราธิวาสราชนครินทร์,14500000,2009.0,30.0,2,2,147.0,520.0,6.0
