name_list,location_list,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
เดนิม จตุจักร,"จอมพล, กรุงเทพ","฿3,140,000",สร้างเสร็จในปี 2019,32,1 ห้องนอน,1 ห้องน้ำ,23.53 ม.2,450 ม. จาก Saphan Khwai,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเด็กเล่น']"
คอนโด Samran Mansion 1 นอน ห้องใหญ่ ใกล้ MRT ห้วยขวาง,"สามเสนนอก, กรุงเทพ","฿5,850,000",ตู้เย็นเตาไฟฟ้าทีวี,8,1 ห้องนอน,1 ห้องน้ำ,66 ม.2,960 ม. จาก MRT ห้วยขวาง,"['ระบบรักษาความปลอดภัย 24 ชม.</li></ul>', '<ul class=""list-features""><li>ระบบรักษาความปลอดภัย 24 ชม.']"
พาร์ค ออริจิ้น ทองหล่อ,"สุขุมวิท, กรุงเทพ","฿14,500,000",สร้างเสร็จในปี 2021,30,2 ห้องนอน,2 ห้องน้ำ,51.66 ม.2,1070 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ห้องอบไอน้ำ', 'ลานจอดรถกลางแจ้ง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ศาลา']"
อนิล สาทร 12,"สีลม, กรุงเทพ","฿15,000,000",สร้างเสร็จในปี 2022,15,1 ห้องนอน,1 ห้องน้ำ,45.77 ม.2,490 ม. จาก BTS ช่องนนทรี,"['ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ศาลา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ดาดฟ้า']"
ไลฟ์ ลาดพร้าว แวลลีย์,"จอมพล, กรุงเทพ","฿6,347,000",สร้างเสร็จในปี 2021,11,1 ห้องนอน,1 ห้องน้ำ,35.09 ม.2,180 ม. จาก BTS ห้าแยกลาดพร้าว,"['สระว่ายน้ำ', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'เซาว์น่า', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ฟิตเนส', 'มินิมาร์ทใกล้เคียง']"
คอนโด Xt Ekkamai 2 นอน ชั้นสูง ใกล้ BTS ทองหล่อ,"สุขุมวิท, กรุงเทพ","฿8,290,000",สร้างเสร็จในปี 2020,23,2 ห้องนอน,2 ห้องน้ำ,46.5 ม.2,1430 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ที่จอดรถริมถนน', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ฟิตเนส', 'ศาลา']"
ไลฟ์ สุขุมวิท 48,"พระโขนงใต้, กรุงเทพ","฿5,260,000",สร้างเสร็จในปี 2017,16,1 ห้องนอน,1 ห้องน้ำ,39.35 ม.2,530 ม. จาก BTS พระโขนง,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
บีทนิค สุขุมวิท 32,"พร้อมพงษ์, กรุงเทพ","฿19,000,000",สร้างเสร็จในปี 2018ไมโครเวฟห้องครัวพร้อมเตาอบทีวี,18,1 ห้องนอน,1 ห้องน้ำ,54.41 ม.2,370 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ห้องสมุด', 'ฟิตเนส', 'ลานจอดรถ']"
เอ็ม จตุจักร,"จอมพล, กรุงเทพ","฿4,190,000",สร้างเสร็จในปี 2015ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,26,1 ห้องนอน,1 ห้องน้ำ,32.9 ม.2,450 ม. จาก BTS สะพานควาย,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ฟิตเนส']"
เวรี่ สุขุมวิท 72,สมุทรปราการ,"฿3,196,000",สร้างเสร็จในปี 2014ตู้เย็นไมโครเวฟระเบียงทีวี,4,2 ห้องนอน,2 ห้องน้ำ,52 ม.2,520 ม. จาก BTS แบริ่ง,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ลานจอดรถ']"
เมย์แฟร์ เพลส สุขุมวิท 64,"บางจาก, กรุงเทพ","฿3,300,000",สร้างเสร็จในปี 2014ตู้เย็นไมโครเวฟเตาไฟฟ้าทีวี,5,1 ห้องนอน,1 ห้องน้ำ,30 ม.2,410 ม. จาก BTS ปุณณวิถี,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ฟิตเนส', 'ลานจอดรถ']"
เดอะ ทรี อินเตอร์เชนจ์,"แยกบางโพ, กรุงเทพ","฿3,000,000",สร้างเสร็จในปี 2014,39,1 ห้องนอน,1 ห้องน้ำ,36 ม.2,480 ม. จาก MRT บางโพ,"['สระว่ายน้ำ', 'สวน', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ออทัมน์ หัวหิน,ประจวบคีรีขันธ์,"฿3,300,000",สร้างเสร็จในปี 2013,3,1 ห้องนอน,1 ห้องน้ำ,42 ม.2,,"['สระว่ายน้ำ', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'กล้องวงจรปิด', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ไนท์บริดจ์ ไพร์ม อ่อนนุช,"พระโขนงเหนือ, กรุงเทพ","฿10,070,000",สร้างเสร็จในปี 2020,,2 ห้องนอน,2 ห้องน้ำ,54.86 ม.2,530 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'สนามเด็กเล่น', 'เตาบาร์บีคิว', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'ห้องสมุด']"
เดอะ โคลเวอร์ ทองหล่อ เรสซิเดนซ์,"ทองหล่อ, กรุงเทพ","฿6,900,000",สร้างเสร็จในปี 2008,9,2 ห้องนอน,2 ห้องน้ำ,75 ม.2,1340 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
